Year,Month,Value
2022,12,2427.222
2022,11,2301.051
2022,10,2326.406
2022,9,2226.004
2022,8,2345.373
2022,7,2289.2
2022,6,2311.964
2022,5,2330.158
2022,4,2276.131
2022,3,2375.692
2022,2,2054.58
2022,1,2181.235
2021,12,2386.337
2021,11,2171.553
2021,10,2062.901
2021,9,1924.995
2021,8,2183.267
2021,7,2085.376
2021,6,2204.428
2021,5,2131.187
2021,4,2104.47
2021,3,2067.107
2021,2,1666.903
2021,1,2082.925
2020,12,2194.463
2020,11,1956.907
2020,10,1975.293
2020,9,1852.767
2020,8,1877.792
2020,7,1874.128
2020,6,1658.983
2020,5,1693.721
2020,4,1879.794
2020,3,2236.072
2020,2,2088.791
2020,1,2175.213
2019,12,2190.414
2019,11,2028.612
2019,10,2087.737
2019,9,1976.907
2019,8,1969.309
2019,7,1888.848
2019,6,1940.025
2019,5,1953.797
2019,4,1892.923
2019,3,1912.069
2019,2,1724.712
2019,1,1910.215
2018,12,1954.641
2018,11,1883.561
2018,10,1893.627
2018,9,1723.356
2018,8,1737.064
2018,7,1863.194
2018,6,1762.188
2018,5,1774.731
2018,4,1791.851
2018,3,1742.406
2018,2,1524.59
2018,1,1572.446
2017,12,1726.816
2017,11,1657.555
2017,10,1683.261
2017,9,1477.95
2017,8,1393.328
2017,7,1458.49
2017,6,1434.4
2017,5,1452.963
2017,4,1421.182
2017,3,1470.174
2017,2,1389.046
2017,1,1380.433
2016,12,1371.734
2016,11,1262.829
2016,10,1124.287
2016,9,1184.215
2016,8,1186.213
2016,7,1130.691
2016,6,1190.165
2016,5,1242.526
2016,4,1122.731
2016,3,1167.178
2016,2,1037.638
2016,1,1099.0
2015,12,1155.87
2015,11,1060.174
2015,10,1069.625
2015,9,1076.211
2015,8,1053.589
2015,7,1095.109
2015,6,1032.342
2015,5,1110.182
2015,4,1105.445
2015,3,1035.106
2015,2,1005.7
2015,1,1102.799
2014,12,1139.668
2014,11,1024.117
2014,10,1008.603
2014,9,965.961
2014,8,1060.628
2014,7,1060.902
2014,6,1014.303
2014,5,1013.292
2014,4,971.592
2014,3,1087.87
2014,2,923.229
2014,1,999.612
2013,12,1139.164
2013,11,983.436
2013,10,1062.513
2013,9,955.019
2013,8,1016.858
2013,7,1013.644
2013,6,958.085
2013,5,994.818
2013,4,904.987
2013,3,1020.149
2013,2,853.621
2013,1,885.251
2012,12,1035.291
2012,11,923.772
2012,10,936.499
2012,9,898.548
2012,8,932.236
2012,7,964.289
2012,6,977.275
2012,5,991.62
2012,4,979.321
2012,3,953.318
2012,2,823.604
2012,1,851.579
2011,12,1017.562
2011,11,886.75
2011,10,883.309
2011,9,884.387
2011,8,872.185
2011,7,846.629
2011,6,811.53
2011,5,840.131
2011,4,870.429
2011,3,872.969
2011,2,753.172
2011,1,833.665
2010,12,791.941
2010,11,754.706
2010,10,709.115
2010,9,670.074
2010,8,692.788
2010,7,710.795
2010,6,679.21
2010,5,698.946
2010,4,681.027
2010,3,649.691
2010,2,551.748
2010,1,585.99
2009,12,625.304
2009,11,597.667
2009,10,643.756
2009,9,595.72
2009,8,592.081
2009,7,615.762
2009,6,562.048
2009,5,532.902
2009,4,503.105
2009,3,554.864
2009,2,502.204
2009,1,594.788
2008,12,609.126
2008,11,586.393
2008,10,585.062
2008,9,515.312
2008,8,579.166
2008,7,600.389
2008,6,617.231
2008,5,615.485
2008,4,586.209
2008,3,600.703
2008,2,523.457
2008,1,530.649
2007,12,528.652
2007,11,549.215
2007,10,430.604
2007,9,427.378
2007,8,465.623
2007,7,490.083
2007,6,414.777
2007,5,438.586
2007,4,407.77
2007,3,410.738
2007,2,339.708
2007,1,434.676
2006,12,383.833
2006,11,423.896
2006,10,422.436
2006,9,446.167
2006,8,407.949
2006,7,390.463
2006,6,407.412
2006,5,423.22
2006,4,370.22
2006,3,372.633
2006,2,328.768
2006,1,350.341
2005,12,372.053
2005,11,294.863
2005,10,306.155
2005,9,302.734
2005,8,389.833
2005,7,386.297
2005,6,451.143
2005,5,432.842
2005,4,393.131
2005,3,405.872
2005,2,367.516
2005,1,359.447
2004,12,425.789
2004,11,343.311
2004,10,343.462
2004,9,355.972
2004,8,368.169
2004,7,364.962
2004,6,382.84
